FG_MODULE, 10/17/2017 10:17:39 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:17:45 AM , Got response
FG_MODULE, 10/17/2017 10:17:45 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:17:45 AM , Start frame: 5
FG_MODULE, 10/17/2017 10:17:45 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:17:51 AM , Got response
FG_MODULE, 10/17/2017 10:17:51 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:17:51 AM , Start frame: 6
FG_MODULE, 10/17/2017 10:17:51 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:18:28 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:18:28 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:18:42 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:18:42 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:18:48 AM , Got response
FG_MODULE, 10/17/2017 10:18:48 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:18:48 AM , Start frame: 1
FG_MODULE, 10/17/2017 10:18:48 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:19:05 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:19:05 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:19:13 AM , Got response
FG_MODULE, 10/17/2017 10:19:13 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:19:13 AM , Start frame: 1
FG_MODULE, 10/17/2017 10:19:13 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:19:27 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:19:27 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:19:39 AM , Got response
MANAGER_MODULE, 10/17/2017 10:19:44 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:19:44 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:19:44 AM , Got row data to pass to IP size of: 0
MANAGER_MODULE, 10/17/2017 10:19:44 AM , Start frame: 1
FG_MODULE, 10/17/2017 10:19:44 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:19:50 AM , Got response
FG_MODULE, 10/17/2017 10:19:50 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:19:50 AM , Start frame: 2
FG_MODULE, 10/17/2017 10:19:50 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:19:50 AM , Got response
FG_MODULE, 10/17/2017 10:19:50 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:19:50 AM , Start frame: 3
FG_MODULE, 10/17/2017 10:19:50 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:20:03 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:20:03 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:20:09 AM , Got response
FG_MODULE, 10/17/2017 10:20:09 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:20:09 AM , Start frame: 1
FG_MODULE, 10/17/2017 10:20:09 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:20:21 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:20:21 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:20:27 AM , Got response
FG_MODULE, 10/17/2017 10:20:27 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:20:27 AM , Start frame: 1
FG_MODULE, 10/17/2017 10:20:27 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:20:36 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:20:36 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:21:58 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:21:58 AM , Called to acquire frame
MANAGER_MODULE, 10/17/2017 10:22:02 AM , Start frame: 0
FG_MODULE, 10/17/2017 10:22:02 AM , Called to acquire frame
FG_MODULE, 10/17/2017 10:22:04 AM , Got response
FG_MODULE, 10/17/2017 10:22:04 AM , Got row data to pass to IP size of: 3145728
MANAGER_MODULE, 10/17/2017 10:22:04 AM , Start frame: 1
FG_MODULE, 10/17/2017 10:22:04 AM , Called to acquire frame
